,source_url,extracted_date,مناظرة إعادة التوجيه الخاصة بشعبة الهندسة المعماريةدورة مارس 2026,تواريخ هامة,Club Name,Domain,Event,Date,Institution,Agreement Type,Partner,Date Signed,Duration
موقع واب المناظرات الجامعية للطلبة: www.concours.ucar.rnu.tn,http://www.concours.ucar.rnu.tn/,2026-04-25 12:55,,,,,,,,,,,
مناظرة إعادة التوجيه الخاصة بشعبة الهندسة المعماريةدورة مارس 2026الإعلان عن النتائج الأوليةتواريخ هامة03 فيفري 2026إنطلاق تسجيل الترشحات عبر موقع واب المناظرات19 فيفري 2026آخر أجل لتسجيل الترشحات عبر موقع واب المناظرات20 فيفري 2026آخر أجل لقبول المطالب مباشرة و حصريا بمقر جامعة قرطاج06 مارس 2025الإعلان عن الطلبة المقبولين بصفة آلية حسب قرار رئيسة الجامعة في الغرض أو استخراج الاستدعاء لاجتياز الاختبارات عبر موقع واب المناظرات17 و 18 مارس 2026تاريخ إجراء الإختبارات الكتابيةبداية من 20 أفريل 2026الإعلان عن النتائج الأولية عبر موقع واب المناظراتمن 20 إلى 24 أفريل 2026قبول مطالب الإعتراض مباشرة في مكتب الضبط خلال التوقيت الإداريبداية من 08 ماي 20261-الإعلان عن النتائج النهائية عبر موقع واب المناظرات2-إستخراج الأذون بالتسجيل بالنسبة للناجحين عبر موقع واب المناظرات*يمكن الاعتراض على النتائج المصرّح بها بداية من يوم الاثنين 20 أفريل إلى غاية يوم الجمعة 24 أفريل 2026 وذلك بإيداع مطلب بمكتب الضبط بمقر جامعة قرطاج وفقا للأنموذج المنشور على موقع الواب الخاص بالمناظرات الجامعية للطلبة  http://www.concours.ucar.rnu.tn.-مطلب إعتراض,http://www.concours.ucar.rnu.tn/,2026-04-25 12:55,,,,,,,,,,,
مناظرة إعادة التوجيه الخاصة بشعبة الهندسة المعماريةدورة مارس 2026,http://www.concours.ucar.rnu.tn/,2026-04-25 12:55,,,,,,,,,,,
الإعلان عن النتائج الأوليةتواريخ هامة03 فيفري 2026إنطلاق تسجيل الترشحات عبر موقع واب المناظرات19 فيفري 2026آخر أجل لتسجيل الترشحات عبر موقع واب المناظرات20 فيفري 2026آخر أجل لقبول المطالب مباشرة و حصريا بمقر جامعة قرطاج06 مارس 2025الإعلان عن الطلبة المقبولين بصفة آلية حسب قرار رئيسة الجامعة في الغرض أو استخراج الاستدعاء لاجتياز الاختبارات عبر موقع واب المناظرات17 و 18 مارس 2026تاريخ إجراء الإختبارات الكتابيةبداية من 20 أفريل 2026الإعلان عن النتائج الأولية عبر موقع واب المناظراتمن 20 إلى 24 أفريل 2026قبول مطالب الإعتراض مباشرة في مكتب الضبط خلال التوقيت الإداريبداية من 08 ماي 20261-الإعلان عن النتائج النهائية عبر موقع واب المناظرات2-إستخراج الأذون بالتسجيل بالنسبة للناجحين عبر موقع واب المناظرات*يمكن الاعتراض على النتائج المصرّح بها بداية من يوم الاثنين 20 أفريل إلى غاية يوم الجمعة 24 أفريل 2026 وذلك بإيداع مطلب بمكتب الضبط بمقر جامعة قرطاج وفقا للأنموذج المنشور على موقع الواب الخاص بالمناظرات الجامعية للطلبة  http://www.concours.ucar.rnu.tn.-مطلب إعتراض,http://www.concours.ucar.rnu.tn/,2026-04-25 12:55,,,,,,,,,,,
تواريخ هامة,http://www.concours.ucar.rnu.tn/,2026-04-25 12:55,,,,,,,,,,,
03 فيفري 2026,http://www.concours.ucar.rnu.tn/,2026-04-25 12:55,,,,,,,,,,,
19 فيفري 2026,http://www.concours.ucar.rnu.tn/,2026-04-25 12:55,,,,,,,,,,,
20 فيفري 2026,http://www.concours.ucar.rnu.tn/,2026-04-25 12:55,,,,,,,,,,,
06 مارس 2025,http://www.concours.ucar.rnu.tn/,2026-04-25 12:55,,,,,,,,,,,
17 و 18 مارس 2026,http://www.concours.ucar.rnu.tn/,2026-04-25 12:55,,,,,,,,,,,
بداية من 20 أفريل 2026,http://www.concours.ucar.rnu.tn/,2026-04-25 12:55,,,,,,,,,,,
من 20 إلى 24 أفريل 2026,http://www.concours.ucar.rnu.tn/,2026-04-25 12:55,,,,,,,,,,,
بداية من 08 ماي 2026,http://www.concours.ucar.rnu.tn/,2026-04-25 12:55,,,,,,,,,,,
,http://www.concours.ucar.rnu.tn/,2026-04-25 12:55,الإعلان عن النتائج الأوليةتواريخ هامة03 فيفري 2026إنطلاق تسجيل الترشحات عبر موقع واب المناظرات19 فيفري 2026آخر أجل لتسجيل الترشحات عبر موقع واب المناظرات20 فيفري 2026آخر أجل لقبول المطالب مباشرة و حصريا بمقر جامعة قرطاج06 مارس 2025الإعلان عن الطلبة المقبولين بصفة آلية حسب قرار رئيسة الجامعة في الغرض أو استخراج الاستدعاء لاجتياز الاختبارات عبر موقع واب المناظرات17 و 18 مارس 2026تاريخ إجراء الإختبارات الكتابيةبداية من 20 أفريل 2026الإعلان عن النتائج الأولية عبر موقع واب المناظراتمن 20 إلى 24 أفريل 2026قبول مطالب الإعتراض مباشرة في مكتب الضبط خلال التوقيت الإداريبداية من 08 ماي 20261-الإعلان عن النتائج النهائية عبر موقع واب المناظرات2-إستخراج الأذون بالتسجيل بالنسبة للناجحين عبر موقع واب المناظرات*يمكن الاعتراض على النتائج المصرّح بها بداية من يوم الاثنين 20 أفريل إلى غاية يوم الجمعة 24 أفريل 2026 وذلك بإيداع مطلب بمكتب الضبط بمقر جامعة قرطاج وفقا للأنموذج المنشور على موقع الواب الخاص بالمناظرات الجامعية للطلبة  http://www.concours.ucar.rnu.tn.-مطلب إعتراض,,,,,,,,,,
,http://www.concours.ucar.rnu.tn/,2026-04-25 12:55,تواريخ هامة,,,,,,,,,,
,http://www.concours.ucar.rnu.tn/,2026-04-25 12:55,03 فيفري 2026,,,,,,,,,,
,http://www.concours.ucar.rnu.tn/,2026-04-25 12:55,19 فيفري 2026,,,,,,,,,,
,http://www.concours.ucar.rnu.tn/,2026-04-25 12:55,20 فيفري 2026,,,,,,,,,,
,http://www.concours.ucar.rnu.tn/,2026-04-25 12:55,06 مارس 2025,,,,,,,,,,
,http://www.concours.ucar.rnu.tn/,2026-04-25 12:55,17 و 18 مارس 2026,,,,,,,,,,
,http://www.concours.ucar.rnu.tn/,2026-04-25 12:55,بداية من 20 أفريل 2026,,,,,,,,,,
,http://www.concours.ucar.rnu.tn/,2026-04-25 12:55,من 20 إلى 24 أفريل 2026,,,,,,,,,,
,http://www.concours.ucar.rnu.tn/,2026-04-25 12:55,بداية من 08 ماي 2026,,,,,,,,,,
,http://www.concours.ucar.rnu.tn/,2026-04-25 12:55,,03 فيفري 2026,,,,,,,,,
,http://www.concours.ucar.rnu.tn/,2026-04-25 12:55,,19 فيفري 2026,,,,,,,,,
,http://www.concours.ucar.rnu.tn/,2026-04-25 12:55,,20 فيفري 2026,,,,,,,,,
,http://www.concours.ucar.rnu.tn/,2026-04-25 12:55,,06 مارس 2025,,,,,,,,,
,http://www.concours.ucar.rnu.tn/,2026-04-25 12:55,,17 و 18 مارس 2026,,,,,,,,,
,http://www.concours.ucar.rnu.tn/,2026-04-25 12:55,,بداية من 20 أفريل 2026,,,,,,,,,
,http://www.concours.ucar.rnu.tn/,2026-04-25 12:55,,من 20 إلى 24 أفريل 2026,,,,,,,,,
,http://www.concours.ucar.rnu.tn/,2026-04-25 12:55,,بداية من 08 ماي 2026,,,,,,,,,
,https://ucar.rnu.tn/campus-life/,2026-04-25 12:56,,,ISLT Seminars,English,,,,,,,
,https://ucar.rnu.tn/campus-life/,2026-04-25 12:56,,,X Minds,Cultural,,,,,,,
,https://ucar.rnu.tn/campus-life/,2026-04-25 12:56,,,AIESEC,Cultural,,,,,,,
,https://ucar.rnu.tn/campus-life/,2026-04-25 12:56,,,Club Events,Cultural,,,,,,,
,https://ucar.rnu.tn/campus-life/,2026-04-25 12:56,,,Club Mabandra,Cultural,,,,,,,
,https://ucar.rnu.tn/campus-life/,2026-04-25 12:56,,,Club Cinema,Cultural,,,,,,,
,https://ucar.rnu.tn/campus-life/,2026-04-25 12:56,,,Charity Compass,Cultural,,,,,,,
,https://ucar.rnu.tn/campus-life/,2026-04-25 12:56,,,Environment Club,Activities focused on the environment for children,,,,,,,
,https://ucar.rnu.tn/campus-life/,2026-04-25 12:56,,,,,Celebration of Arab Family Day and National Family Day 2017,"December 7, 2017",,,,,
,https://ucar.rnu.tn/agreement/,2026-04-25 12:56,,,,,,,UCAR,Framework Agreement,SUPCOM (PEEC),11/06/2024,5 years
,https://ucar.rnu.tn/agreement/,2026-04-25 12:56,,,,,,,UCAR,Framework Cooperation in Continuing Education,CNFCPP,08/10/2024,5 years
,https://ucar.rnu.tn/agreement/,2026-04-25 12:56,,,,,,,UCAR,Framework Agreement,Tunisian Association for Education,20/12/2024,3 years
,https://ucar.rnu.tn/agreement/,2026-04-25 12:56,,,,,,,UCAR,Memorandum of Understanding & Cooperation,Attijari Bank,19/11/2025,3 years
موقع واب المناظرات الجامعية للطلبة: www.concours.ucar.rnu.tn,http://www.concours.ucar.rnu.tn,2026-04-25 13:07,,,,,,,,,,,
مناظرة إعادة التوجيه الخاصة بشعبة الهندسة المعماريةدورة مارس 2026الإعلان عن النتائج الأوليةتواريخ هامة03 فيفري 2026إنطلاق تسجيل الترشحات عبر موقع واب المناظرات19 فيفري 2026آخر أجل لتسجيل الترشحات عبر موقع واب المناظرات20 فيفري 2026آخر أجل لقبول المطالب مباشرة و حصريا بمقر جامعة قرطاج06 مارس 2025الإعلان عن الطلبة المقبولين بصفة آلية حسب قرار رئيسة الجامعة في الغرض أو استخراج الاستدعاء لاجتياز الاختبارات عبر موقع واب المناظرات17 و 18 مارس 2026تاريخ إجراء الإختبارات الكتابيةبداية من 20 أفريل 2026الإعلان عن النتائج الأولية عبر موقع واب المناظراتمن 20 إلى 24 أفريل 2026قبول مطالب الإعتراض مباشرة في مكتب الضبط خلال التوقيت الإداريبداية من 08 ماي 20261-الإعلان عن النتائج النهائية عبر موقع واب المناظرات2-إستخراج الأذون بالتسجيل بالنسبة للناجحين عبر موقع واب المناظرات*يمكن الاعتراض على النتائج المصرّح بها بداية من يوم الاثنين 20 أفريل إلى غاية يوم الجمعة 24 أفريل 2026 وذلك بإيداع مطلب بمكتب الضبط بمقر جامعة قرطاج وفقا للأنموذج المنشور على موقع الواب الخاص بالمناظرات الجامعية للطلبة  http://www.concours.ucar.rnu.tn.-مطلب إعتراض,http://www.concours.ucar.rnu.tn,2026-04-25 13:07,,,,,,,,,,,
مناظرة إعادة التوجيه الخاصة بشعبة الهندسة المعماريةدورة مارس 2026,http://www.concours.ucar.rnu.tn,2026-04-25 13:07,,,,,,,,,,,
الإعلان عن النتائج الأوليةتواريخ هامة03 فيفري 2026إنطلاق تسجيل الترشحات عبر موقع واب المناظرات19 فيفري 2026آخر أجل لتسجيل الترشحات عبر موقع واب المناظرات20 فيفري 2026آخر أجل لقبول المطالب مباشرة و حصريا بمقر جامعة قرطاج06 مارس 2025الإعلان عن الطلبة المقبولين بصفة آلية حسب قرار رئيسة الجامعة في الغرض أو استخراج الاستدعاء لاجتياز الاختبارات عبر موقع واب المناظرات17 و 18 مارس 2026تاريخ إجراء الإختبارات الكتابيةبداية من 20 أفريل 2026الإعلان عن النتائج الأولية عبر موقع واب المناظراتمن 20 إلى 24 أفريل 2026قبول مطالب الإعتراض مباشرة في مكتب الضبط خلال التوقيت الإداريبداية من 08 ماي 20261-الإعلان عن النتائج النهائية عبر موقع واب المناظرات2-إستخراج الأذون بالتسجيل بالنسبة للناجحين عبر موقع واب المناظرات*يمكن الاعتراض على النتائج المصرّح بها بداية من يوم الاثنين 20 أفريل إلى غاية يوم الجمعة 24 أفريل 2026 وذلك بإيداع مطلب بمكتب الضبط بمقر جامعة قرطاج وفقا للأنموذج المنشور على موقع الواب الخاص بالمناظرات الجامعية للطلبة  http://www.concours.ucar.rnu.tn.-مطلب إعتراض,http://www.concours.ucar.rnu.tn,2026-04-25 13:07,,,,,,,,,,,
تواريخ هامة,http://www.concours.ucar.rnu.tn,2026-04-25 13:07,,,,,,,,,,,
03 فيفري 2026,http://www.concours.ucar.rnu.tn,2026-04-25 13:07,,,,,,,,,,,
19 فيفري 2026,http://www.concours.ucar.rnu.tn,2026-04-25 13:07,,,,,,,,,,,
20 فيفري 2026,http://www.concours.ucar.rnu.tn,2026-04-25 13:07,,,,,,,,,,,
06 مارس 2025,http://www.concours.ucar.rnu.tn,2026-04-25 13:07,,,,,,,,,,,
17 و 18 مارس 2026,http://www.concours.ucar.rnu.tn,2026-04-25 13:07,,,,,,,,,,,
بداية من 20 أفريل 2026,http://www.concours.ucar.rnu.tn,2026-04-25 13:07,,,,,,,,,,,
من 20 إلى 24 أفريل 2026,http://www.concours.ucar.rnu.tn,2026-04-25 13:07,,,,,,,,,,,
بداية من 08 ماي 2026,http://www.concours.ucar.rnu.tn,2026-04-25 13:07,,,,,,,,,,,
,http://www.concours.ucar.rnu.tn,2026-04-25 13:07,الإعلان عن النتائج الأوليةتواريخ هامة03 فيفري 2026إنطلاق تسجيل الترشحات عبر موقع واب المناظرات19 فيفري 2026آخر أجل لتسجيل الترشحات عبر موقع واب المناظرات20 فيفري 2026آخر أجل لقبول المطالب مباشرة و حصريا بمقر جامعة قرطاج06 مارس 2025الإعلان عن الطلبة المقبولين بصفة آلية حسب قرار رئيسة الجامعة في الغرض أو استخراج الاستدعاء لاجتياز الاختبارات عبر موقع واب المناظرات17 و 18 مارس 2026تاريخ إجراء الإختبارات الكتابيةبداية من 20 أفريل 2026الإعلان عن النتائج الأولية عبر موقع واب المناظراتمن 20 إلى 24 أفريل 2026قبول مطالب الإعتراض مباشرة في مكتب الضبط خلال التوقيت الإداريبداية من 08 ماي 20261-الإعلان عن النتائج النهائية عبر موقع واب المناظرات2-إستخراج الأذون بالتسجيل بالنسبة للناجحين عبر موقع واب المناظرات*يمكن الاعتراض على النتائج المصرّح بها بداية من يوم الاثنين 20 أفريل إلى غاية يوم الجمعة 24 أفريل 2026 وذلك بإيداع مطلب بمكتب الضبط بمقر جامعة قرطاج وفقا للأنموذج المنشور على موقع الواب الخاص بالمناظرات الجامعية للطلبة  http://www.concours.ucar.rnu.tn.-مطلب إعتراض,,,,,,,,,,
,http://www.concours.ucar.rnu.tn,2026-04-25 13:07,تواريخ هامة,,,,,,,,,,
,http://www.concours.ucar.rnu.tn,2026-04-25 13:07,03 فيفري 2026,,,,,,,,,,
,http://www.concours.ucar.rnu.tn,2026-04-25 13:07,19 فيفري 2026,,,,,,,,,,
,http://www.concours.ucar.rnu.tn,2026-04-25 13:07,20 فيفري 2026,,,,,,,,,,
,http://www.concours.ucar.rnu.tn,2026-04-25 13:07,06 مارس 2025,,,,,,,,,,
,http://www.concours.ucar.rnu.tn,2026-04-25 13:07,17 و 18 مارس 2026,,,,,,,,,,
,http://www.concours.ucar.rnu.tn,2026-04-25 13:07,بداية من 20 أفريل 2026,,,,,,,,,,
,http://www.concours.ucar.rnu.tn,2026-04-25 13:07,من 20 إلى 24 أفريل 2026,,,,,,,,,,
,http://www.concours.ucar.rnu.tn,2026-04-25 13:07,بداية من 08 ماي 2026,,,,,,,,,,
,http://www.concours.ucar.rnu.tn,2026-04-25 13:07,,03 فيفري 2026,,,,,,,,,
,http://www.concours.ucar.rnu.tn,2026-04-25 13:07,,19 فيفري 2026,,,,,,,,,
,http://www.concours.ucar.rnu.tn,2026-04-25 13:07,,20 فيفري 2026,,,,,,,,,
,http://www.concours.ucar.rnu.tn,2026-04-25 13:07,,06 مارس 2025,,,,,,,,,
,http://www.concours.ucar.rnu.tn,2026-04-25 13:07,,17 و 18 مارس 2026,,,,,,,,,
,http://www.concours.ucar.rnu.tn,2026-04-25 13:07,,بداية من 20 أفريل 2026,,,,,,,,,
,http://www.concours.ucar.rnu.tn,2026-04-25 13:07,,من 20 إلى 24 أفريل 2026,,,,,,,,,
,http://www.concours.ucar.rnu.tn,2026-04-25 13:07,,بداية من 08 ماي 2026,,,,,,,,,
